Timestamp,mq3
2024-04-09 11:05:32,276
2024-04-09 11:05:33,276
2024-04-09 11:05:34,277
2024-04-09 11:05:35,278
2024-04-09 11:05:36,279
2024-04-09 11:05:37,280
2024-04-09 11:05:38,280
2024-04-09 11:05:39,281
2024-04-09 11:05:40,282
2024-04-09 11:05:41,281
2024-04-09 11:05:42,282
2024-04-09 11:05:43,282
2024-04-09 11:05:44,283
2024-04-09 11:05:45,283
2024-04-09 11:05:46,283
2024-04-09 11:05:47,283
2024-04-09 11:05:48,284
2024-04-09 11:05:49,283
2024-04-09 11:05:50,283
2024-04-09 11:05:51,283
2024-04-09 11:05:52,283
2024-04-09 11:05:53,284
2024-04-09 11:05:54,284
2024-04-09 11:05:55,284
2024-04-09 11:05:56,285
2024-04-09 11:05:57,285
2024-04-09 11:05:58,286
2024-04-09 11:05:59,286
2024-04-09 11:06:00,286
2024-04-09 11:06:01,287
2024-04-09 11:06:02,287
2024-04-09 11:06:03,288
2024-04-09 11:06:04,287
2024-04-09 11:06:05,287
2024-04-09 11:06:06,287
2024-04-09 11:06:07,287
2024-04-09 11:06:08,287
2024-04-09 11:06:09,288
2024-04-09 11:06:10,288
2024-04-09 11:06:11,288
2024-04-09 11:06:12,288
2024-04-09 11:06:13,289
2024-04-09 11:06:14,290
2024-04-09 11:06:15,292
2024-04-09 11:06:16,301
2024-04-09 11:06:17,290
2024-04-09 11:06:18,292
2024-04-09 11:06:19,293
2024-04-09 11:06:21,296
2024-04-09 11:06:22,297
2024-04-09 11:06:23,300
2024-04-09 11:06:24,298
2024-04-09 11:06:25,298
2024-04-09 11:06:26,297
2024-04-09 11:06:27,297
2024-04-09 11:06:28,298
2024-04-09 11:06:29,298
2024-04-09 11:06:30,300
2024-04-09 11:06:31,300
2024-04-09 11:06:32,299
2024-04-09 11:06:33,301
2024-04-09 11:06:34,299
2024-04-09 11:06:35,301
2024-04-09 11:06:36,301
2024-04-09 11:06:37,301
2024-04-09 11:06:38,303
2024-04-09 11:06:39,297
2024-04-09 11:06:40,296
2024-04-09 11:06:41,294
2024-04-09 11:06:42,294
2024-04-09 11:06:43,295
2024-04-09 11:06:44,297
2024-04-09 11:06:45,298
2024-04-09 11:06:46,298
2024-04-09 11:06:47,297
2024-04-09 11:06:48,298
2024-04-09 11:06:49,298
2024-04-09 11:06:50,299
2024-04-09 11:06:51,299
2024-04-09 11:06:52,300
2024-04-09 11:06:53,300
2024-04-09 11:06:54,300
2024-04-09 11:06:55,300
2024-04-09 11:06:56,301
2024-04-09 11:06:57,300
2024-04-09 11:06:58,295
2024-04-09 11:06:59,296
2024-04-09 11:07:00,297
2024-04-09 11:07:01,319
2024-04-09 11:07:02,321
2024-04-09 11:07:03,321
2024-04-09 11:07:04,314
2024-04-09 11:07:05,311
2024-04-09 11:07:06,308
2024-04-09 11:07:07,312
2024-04-09 11:07:08,307
2024-04-09 11:07:09,316
2024-04-09 11:07:10,316
2024-04-09 11:07:11,310
2024-04-09 11:07:12,310
2024-04-09 11:07:13,306
2024-04-09 11:07:14,308
2024-04-09 11:07:15,307
2024-04-09 11:07:16,307
2024-04-09 11:07:17,311
2024-04-09 11:07:18,309
2024-04-09 11:07:19,308
2024-04-09 11:07:20,311
2024-04-09 11:07:21,312
2024-04-09 11:07:22,313
2024-04-09 11:07:23,310
2024-04-09 11:07:24,304
2024-04-09 11:07:25,301
2024-04-09 11:07:26,301
2024-04-09 11:07:27,297
2024-04-09 11:07:28,296
2024-04-09 11:07:29,297
2024-04-09 11:07:30,299
2024-04-09 11:07:31,301
2024-04-09 11:07:32,296
2024-04-09 11:07:33,301
2024-04-09 11:07:34,302
2024-04-09 11:07:35,298
2024-04-09 11:07:36,300
2024-04-09 11:07:37,294
2024-04-09 11:07:38,299
2024-04-09 11:07:39,296
2024-04-09 11:07:40,296
2024-04-09 11:07:41,297
2024-04-09 11:07:42,295
2024-04-09 11:07:43,296
2024-04-09 11:07:44,294
2024-04-09 11:07:45,296
2024-04-09 11:07:46,294
2024-04-09 11:07:47,295
2024-04-09 11:07:48,296
2024-04-09 11:07:49,293
2024-04-09 11:07:50,293
2024-04-09 11:07:51,295
2024-04-09 11:07:52,295
2024-04-09 11:07:53,295
2024-04-09 11:07:55,294
2024-04-09 11:07:56,294
2024-04-09 11:07:57,296
2024-04-09 11:07:58,294
2024-04-09 11:07:59,295
2024-04-09 11:08:00,296
2024-04-09 11:08:01,294
2024-04-09 11:08:02,296
2024-04-09 11:08:03,296
2024-04-09 11:08:04,297
2024-04-09 11:08:05,296
2024-04-09 11:08:06,294
2024-04-09 11:08:07,295
2024-04-09 11:08:08,295
2024-04-09 11:08:09,295
2024-04-09 11:08:10,295
2024-04-09 11:08:11,294
2024-04-09 11:08:12,294
2024-04-09 11:08:13,293
2024-04-09 11:08:14,295
2024-04-09 11:08:15,295
2024-04-09 11:08:16,294
2024-04-09 11:08:17,294
2024-04-09 11:08:18,294
2024-04-09 11:08:19,293
2024-04-09 11:08:20,293
2024-04-09 11:08:21,293
2024-04-09 11:08:22,293
2024-04-09 11:08:23,293
2024-04-09 11:08:24,293
2024-04-09 11:08:25,293
2024-04-09 11:08:26,293
2024-04-09 11:08:27,294
2024-04-09 11:08:28,294
2024-04-09 11:08:29,293
2024-04-09 11:08:30,293
2024-04-09 11:08:31,294
2024-04-09 11:08:32,294
2024-04-09 11:08:33,294
2024-04-09 11:08:34,293
2024-04-09 11:08:35,293
2024-04-09 11:08:36,293
2024-04-09 11:08:37,292
2024-04-09 11:08:38,293
2024-04-09 11:08:39,292
2024-04-09 11:08:40,292
2024-04-09 11:08:41,292
2024-04-09 11:08:42,292
2024-04-09 11:08:43,293
2024-04-09 11:08:44,292
2024-04-09 11:08:45,293
2024-04-09 11:08:46,293
2024-04-09 11:08:47,293
2024-04-09 11:08:48,294
2024-04-09 11:08:49,293
2024-04-09 11:08:50,293
2024-04-09 11:08:51,294
2024-04-09 11:08:52,294
2024-04-09 11:08:53,294
2024-04-09 11:08:54,294
2024-04-09 11:08:55,294
2024-04-09 11:08:56,294
2024-04-09 11:08:57,294
2024-04-09 11:08:58,294
2024-04-09 11:08:59,293
2024-04-09 11:09:00,294
2024-04-09 11:09:01,293
2024-04-09 11:09:02,294
2024-04-09 11:09:03,294
2024-04-09 11:09:04,293
2024-04-09 11:09:05,293
