Timestamp,mq2,mq3,mq5,mq6,mq8,mq9,mics_Vred,mics_Vnox,mq214
2024-07-16 15:45:00,141,35,24,118,27,114,29,479,1012
2024-07-16 15:45:01,141,35,24,118,27,114,29,479,1012
2024-07-16 15:45:02,141,35,24,118,27,114,28,479,1012
2024-07-16 15:45:04,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:05,141,35,24,118,27,114,29,478,1012
2024-07-16 15:45:06,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:07,140,35,24,118,27,114,28,479,1012
2024-07-16 15:45:08,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:09,140,35,24,118,27,114,28,478,1011
2024-07-16 15:45:10,141,35,24,118,27,114,28,478,1012
2024-07-16 15:45:11,140,35,24,118,27,114,29,478,1011
2024-07-16 15:45:12,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:13,141,35,24,118,27,114,29,478,1012
2024-07-16 15:45:14,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:15,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:16,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:17,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:18,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:19,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:20,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:21,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:22,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:23,140,35,24,118,27,114,29,479,1011
2024-07-16 15:45:24,140,35,24,118,28,114,29,479,1012
2024-07-16 15:45:25,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:26,140,34,24,118,27,114,29,479,1012
2024-07-16 15:45:27,140,35,24,118,27,114,28,479,1012
2024-07-16 15:45:28,140,35,24,118,27,114,28,479,1012
2024-07-16 15:45:29,140,35,24,118,27,114,28,479,1012
2024-07-16 15:45:30,140,35,24,118,27,114,28,479,1012
2024-07-16 15:45:31,140,35,24,118,27,114,28,479,1012
2024-07-16 15:45:32,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:33,140,35,24,118,27,114,29,479,1012
2024-07-16 15:45:34,140,35,24,118,27,114,28,479,1012
2024-07-16 15:45:35,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:36,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:37,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:38,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:39,140,35,24,118,27,114,28,477,1012
2024-07-16 15:45:40,140,35,24,118,27,113,28,477,1012
2024-07-16 15:45:41,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:42,140,34,24,118,27,114,28,477,1011
2024-07-16 15:45:43,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:44,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:45,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:46,140,35,24,118,27,114,29,478,1012
2024-07-16 15:45:47,140,35,24,118,27,113,28,478,1012
2024-07-16 15:45:48,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:49,139,34,24,118,27,114,28,478,1012
2024-07-16 15:45:50,140,35,24,118,27,114,28,478,1012
2024-07-16 15:45:51,140,35,24,118,27,113,29,478,1012
2024-07-16 15:45:52,139,35,24,118,28,114,28,478,1012
2024-07-16 15:45:53,139,34,24,118,27,113,28,478,1012
2024-07-16 15:45:54,139,34,24,118,27,113,29,478,1012
2024-07-16 15:45:55,139,34,24,118,27,114,28,478,1012
2024-07-16 15:45:56,139,34,24,118,27,114,29,478,1012
2024-07-16 15:45:57,139,34,24,118,27,113,28,478,1012
2024-07-16 15:45:58,139,34,24,118,27,114,28,478,1011
2024-07-16 15:45:59,139,34,24,118,28,113,31,477,1012
2024-07-16 15:46:00,139,35,24,118,27,114,37,477,1012
2024-07-16 15:46:01,153,40,24,124,28,121,37,477,1012
2024-07-16 15:46:02,177,53,28,133,27,137,49,477,1012
2024-07-16 15:46:03,203,63,32,143,28,153,374,478,1012
2024-07-16 15:46:04,228,66,34,151,29,166,690,478,1012
2024-07-16 15:46:05,260,70,35,156,29,172,486,478,1012
2024-07-16 15:46:06,276,75,37,164,29,177,330,478,1011
2024-07-16 15:46:07,272,76,38,166,30,176,396,478,1012
2024-07-16 15:46:08,268,74,37,164,30,173,348,478,1012
2024-07-16 15:46:09,263,72,37,163,30,168,252,478,1012
2024-07-16 15:46:10,256,69,36,160,30,163,251,478,1012
2024-07-16 15:46:11,247,66,35,156,30,158,217,478,1011
2024-07-16 15:46:12,240,64,34,153,30,155,151,478,1012
2024-07-16 15:46:13,235,61,33,151,30,152,78,477,1012
2024-07-16 15:46:14,230,60,33,149,30,149,57,477,1012
2024-07-16 15:46:15,226,58,32,148,30,147,52,477,1012
2024-07-16 15:46:16,224,57,32,147,30,146,53,477,1011
2024-07-16 15:46:17,224,57,32,148,30,146,52,477,1012
2024-07-16 15:46:18,225,58,32,149,29,147,52,477,1012
2024-07-16 15:46:19,225,58,32,149,30,147,47,477,1012
2024-07-16 15:46:20,227,58,32,151,29,148,48,477,1012
2024-07-16 15:46:21,231,59,33,153,29,151,47,477,1012
2024-07-16 15:46:22,235,60,33,154,29,152,48,477,1011
2024-07-16 15:46:23,233,61,32,154,29,150,48,477,1012
2024-07-16 15:46:24,230,60,32,153,29,148,53,477,1011
2024-07-16 15:46:25,227,60,32,152,29,146,56,477,1011
2024-07-16 15:46:26,225,60,32,151,29,145,67,477,1011
2024-07-16 15:46:28,223,60,32,151,29,145,72,477,1012
2024-07-16 15:46:29,221,59,32,151,29,144,72,477,1011
2024-07-16 15:46:30,221,60,32,151,29,144,75,478,1012
2024-07-16 15:46:31,220,59,32,150,29,144,52,477,1012
2024-07-16 15:46:32,220,59,32,150,29,144,42,477,1012
2024-07-16 15:46:33,219,59,32,149,29,143,47,477,1011
2024-07-16 15:46:34,217,58,32,148,29,141,57,477,1012
2024-07-16 15:46:35,215,57,32,147,29,140,45,477,1011
2024-07-16 15:46:36,213,57,32,147,29,139,41,477,1012
2024-07-16 15:46:37,212,56,32,146,29,139,42,477,1012
2024-07-16 15:46:38,211,56,32,145,29,139,41,477,1012
2024-07-16 15:46:39,210,55,31,144,29,138,42,477,1012
2024-07-16 15:46:40,207,54,31,144,29,137,43,477,1012
2024-07-16 15:46:41,205,54,31,143,29,136,41,477,1012
2024-07-16 15:46:42,204,53,31,142,29,135,39,477,1011
2024-07-16 15:46:43,202,53,30,141,29,135,36,477,1012
2024-07-16 15:46:44,201,53,30,141,29,134,35,477,1012
2024-07-16 15:46:45,201,52,30,140,29,134,33,477,1011
2024-07-16 15:46:46,202,53,30,142,29,135,39,477,1012
2024-07-16 15:46:47,212,58,33,152,29,143,141,477,1012
2024-07-16 15:46:48,236,62,35,159,29,156,502,477,1012
2024-07-16 15:46:49,259,75,37,172,30,177,370,477,1012
2024-07-16 15:46:50,282,84,42,183,30,192,400,477,1012
2024-07-16 15:46:51,295,87,44,190,30,195,443,478,1012
2024-07-16 15:46:52,301,88,43,194,31,196,511,478,1012
2024-07-16 15:46:53,310,88,43,199,31,202,358,478,1012
2024-07-16 15:46:54,317,87,43,199,31,203,263,478,1012
2024-07-16 15:46:55,322,85,43,198,31,202,277,478,1012
2024-07-16 15:46:56,324,85,42,197,31,201,306,478,1012
2024-07-16 15:46:57,321,83,42,197,31,197,308,479,1012
2024-07-16 15:46:58,318,81,41,194,31,192,263,479,1012
2024-07-16 15:46:59,309,79,40,190,31,186,237,479,1012
2024-07-16 15:47:00,300,77,40,186,31,180,214,479,1012
2024-07-16 15:47:01,293,75,39,184,31,177,208,479,1012
2024-07-16 15:47:02,288,73,38,181,31,174,214,479,1012
2024-07-16 15:47:03,284,72,38,179,31,173,232,479,1012
2024-07-16 15:47:04,280,70,37,177,31,170,228,479,1012
2024-07-16 15:47:05,274,69,37,175,31,166,193,480,1012
2024-07-16 15:47:06,268,68,36,172,31,163,175,480,1012
2024-07-16 15:47:07,264,67,36,170,30,161,168,480,1012
2024-07-16 15:47:08,262,66,35,168,30,160,132,480,1012
2024-07-16 15:47:09,260,66,35,167,30,159,77,480,1012
2024-07-16 15:47:10,257,65,34,166,30,158,79,480,1012
2024-07-16 15:47:11,254,64,34,164,30,156,76,480,1012
2024-07-16 15:47:12,251,64,34,164,30,155,74,480,1012
2024-07-16 15:47:13,249,64,34,163,30,154,64,480,1012
2024-07-16 15:47:14,248,63,34,162,30,154,59,480,1012
2024-07-16 15:47:15,247,62,33,161,30,153,59,480,1012
2024-07-16 15:47:16,245,62,33,160,30,153,54,480,1012
2024-07-16 15:47:17,243,62,33,159,30,152,50,479,1012
2024-07-16 15:47:18,241,62,33,158,30,151,46,479,1012
2024-07-16 15:47:19,239,61,33,157,30,150,44,479,1012
2024-07-16 15:47:20,237,61,33,156,30,149,36,479,1012
2024-07-16 15:47:21,236,61,32,155,29,148,35,479,1012
2024-07-16 15:47:22,234,60,32,155,29,147,33,479,1012
2024-07-16 15:47:23,232,60,32,154,29,146,32,479,1012
2024-07-16 15:47:24,229,60,32,153,29,144,32,478,1012
2024-07-16 15:47:25,227,59,32,152,29,143,34,479,1012
2024-07-16 15:47:26,225,59,32,151,29,142,33,479,1012
2024-07-16 15:47:27,222,59,32,150,29,141,30,478,1012
2024-07-16 15:47:28,220,58,32,149,29,140,30,478,1012
2024-07-16 15:47:29,218,58,31,148,29,139,30,478,1012
2024-07-16 15:47:30,216,57,31,148,29,138,30,478,1012
2024-07-16 15:47:31,215,57,31,147,29,137,31,478,1012
2024-07-16 15:47:32,213,57,31,146,29,137,32,478,1012
2024-07-16 15:47:33,211,57,31,145,29,136,32,478,1012
2024-07-16 15:47:34,210,56,31,145,29,135,32,478,1012
2024-07-16 15:47:35,209,56,31,144,29,135,32,479,1012
2024-07-16 15:47:36,208,56,30,144,29,134,32,479,1012
2024-07-16 15:47:37,207,56,30,143,29,134,32,479,1012
2024-07-16 15:47:38,206,55,30,143,29,134,31,479,1012
2024-07-16 15:47:39,205,55,30,142,29,133,30,478,1012
2024-07-16 15:47:40,204,55,30,142,29,133,30,478,1012
2024-07-16 15:47:41,203,55,30,141,29,132,30,478,1012
2024-07-16 15:47:42,201,55,30,141,29,132,30,478,1012
2024-07-16 15:47:43,200,55,30,140,29,132,30,478,1012
2024-07-16 15:47:44,200,54,30,140,29,131,31,478,1012
2024-07-16 15:47:45,199,54,30,140,29,131,30,478,1012
2024-07-16 15:47:46,198,54,30,139,29,131,30,478,1012
2024-07-16 15:47:47,197,54,30,139,28,130,30,478,1012
2024-07-16 15:47:48,196,54,30,139,29,130,30,477,1012
2024-07-16 15:47:49,196,54,30,139,28,130,30,477,1012
2024-07-16 15:47:51,195,53,29,138,29,129,30,477,1012
2024-07-16 15:47:52,194,53,29,138,29,129,29,477,1012
2024-07-16 15:47:53,193,53,29,138,29,129,29,476,1012
2024-07-16 15:47:54,193,53,29,138,29,128,28,476,1012
2024-07-16 15:47:55,192,53,29,137,29,128,28,476,1012
2024-07-16 15:47:56,191,53,29,137,29,128,28,476,1012
2024-07-16 15:47:57,191,53,29,137,28,128,29,476,1012
2024-07-16 15:47:58,190,52,29,136,28,127,29,476,1012
2024-07-16 15:47:59,190,52,29,136,28,127,28,476,1012
2024-07-16 15:48:00,189,52,29,136,28,127,28,476,1012
2024-07-16 15:48:01,188,52,29,136,28,127,28,476,1012
