Timestamp,mics_Vred
2024-07-16 14:30:00,32
2024-07-16 14:30:01,32
2024-07-16 14:30:02,32
2024-07-16 14:30:03,32
2024-07-16 14:30:04,32
2024-07-16 14:30:05,32
2024-07-16 14:30:06,32
2024-07-16 14:30:07,32
2024-07-16 14:30:08,32
2024-07-16 14:30:09,32
2024-07-16 14:30:10,32
2024-07-16 14:30:11,32
2024-07-16 14:30:12,32
2024-07-16 14:30:13,32
2024-07-16 14:30:14,32
2024-07-16 14:30:15,32
2024-07-16 14:30:16,32
2024-07-16 14:30:17,32
2024-07-16 14:30:18,32
2024-07-16 14:30:19,32
2024-07-16 14:30:20,32
2024-07-16 14:30:21,32
2024-07-16 14:30:22,32
2024-07-16 14:30:23,32
2024-07-16 14:30:24,32
2024-07-16 14:30:25,32
2024-07-16 14:30:26,32
2024-07-16 14:30:27,32
2024-07-16 14:30:28,32
2024-07-16 14:30:29,32
2024-07-16 14:30:30,31
2024-07-16 14:30:31,31
2024-07-16 14:30:32,32
2024-07-16 14:30:33,32
2024-07-16 14:30:34,32
2024-07-16 14:30:35,32
2024-07-16 14:30:36,31
2024-07-16 14:30:37,31
2024-07-16 14:30:38,31
2024-07-16 14:30:39,31
2024-07-16 14:30:40,31
2024-07-16 14:30:41,31
2024-07-16 14:30:42,31
2024-07-16 14:30:43,31
2024-07-16 14:30:44,31
2024-07-16 14:30:45,31
2024-07-16 14:30:46,31
2024-07-16 14:30:47,32
2024-07-16 14:30:48,31
2024-07-16 14:30:49,31
2024-07-16 14:30:50,31
2024-07-16 14:30:51,31
2024-07-16 14:30:52,31
2024-07-16 14:30:53,32
2024-07-16 14:30:54,31
2024-07-16 14:30:55,32
2024-07-16 14:30:56,32
2024-07-16 14:30:57,32
2024-07-16 14:30:58,31
2024-07-16 14:30:59,31
2024-07-16 14:31:00,32
2024-07-16 14:31:01,32
2024-07-16 14:31:02,32
2024-07-16 14:31:03,32
2024-07-16 14:31:04,32
2024-07-16 14:31:05,32
2024-07-16 14:31:06,32
2024-07-16 14:31:08,32
2024-07-16 14:31:09,32
2024-07-16 14:31:10,32
2024-07-16 14:31:11,32
2024-07-16 14:31:12,32
2024-07-16 14:31:13,32
2024-07-16 14:31:14,31
2024-07-16 14:31:15,31
2024-07-16 14:31:16,31
2024-07-16 14:31:17,32
2024-07-16 14:31:18,32
2024-07-16 14:31:19,32
2024-07-16 14:31:20,32
2024-07-16 14:31:21,32
2024-07-16 14:31:22,32
2024-07-16 14:31:23,32
2024-07-16 14:31:24,32
2024-07-16 14:31:25,32
2024-07-16 14:31:26,32
2024-07-16 14:31:27,33
2024-07-16 14:31:28,33
2024-07-16 14:31:29,33
2024-07-16 14:31:30,33
2024-07-16 14:31:31,33
2024-07-16 14:31:32,33
2024-07-16 14:31:33,33
2024-07-16 14:31:34,34
2024-07-16 14:31:35,34
2024-07-16 14:31:36,34
2024-07-16 14:31:37,34
2024-07-16 14:31:38,34
2024-07-16 14:31:39,34
2024-07-16 14:31:40,34
2024-07-16 14:31:41,34
2024-07-16 14:31:42,34
2024-07-16 14:31:43,35
2024-07-16 14:31:44,35
2024-07-16 14:31:45,35
2024-07-16 14:31:46,35
2024-07-16 14:31:47,36
2024-07-16 14:31:48,36
2024-07-16 14:31:49,36
2024-07-16 14:31:50,36
2024-07-16 14:31:51,36
2024-07-16 14:31:52,36
2024-07-16 14:31:53,36
2024-07-16 14:31:54,37
2024-07-16 14:31:55,36
2024-07-16 14:31:56,36
2024-07-16 14:31:57,36
2024-07-16 14:31:58,36
2024-07-16 14:31:59,37
2024-07-16 14:32:00,41
2024-07-16 14:32:01,42
2024-07-16 14:32:02,44
2024-07-16 14:32:03,47
2024-07-16 14:32:04,46
2024-07-16 14:32:05,45
2024-07-16 14:32:06,44
2024-07-16 14:32:07,44
2024-07-16 14:32:08,43
2024-07-16 14:32:09,41
2024-07-16 14:32:10,39
2024-07-16 14:32:11,40
2024-07-16 14:32:12,41
2024-07-16 14:32:13,40
2024-07-16 14:32:14,201
2024-07-16 14:32:15,241
2024-07-16 14:32:16,245
2024-07-16 14:32:17,104
2024-07-16 14:32:18,78
2024-07-16 14:32:19,90
2024-07-16 14:32:20,88
2024-07-16 14:32:21,90
2024-07-16 14:32:22,89
2024-07-16 14:32:23,80
2024-07-16 14:32:24,62
2024-07-16 14:32:25,57
2024-07-16 14:32:26,60
2024-07-16 14:32:27,39
2024-07-16 14:32:28,35
2024-07-16 14:32:29,34
2024-07-16 14:32:30,33
2024-07-16 14:32:32,33
2024-07-16 14:32:33,32
2024-07-16 14:32:34,32
2024-07-16 14:32:35,33
2024-07-16 14:32:36,33
2024-07-16 14:32:37,33
2024-07-16 14:32:38,33
2024-07-16 14:32:39,34
2024-07-16 14:32:40,34
2024-07-16 14:32:41,34
2024-07-16 14:32:42,35
2024-07-16 14:32:43,34
2024-07-16 14:32:44,34
2024-07-16 14:32:45,34
2024-07-16 14:32:46,35
2024-07-16 14:32:47,34
2024-07-16 14:32:48,34
2024-07-16 14:32:49,34
2024-07-16 14:32:50,34
