Timestamp,mq214
2024-07-16 13:30:00,1012
2024-07-16 13:30:01,1012
2024-07-16 13:30:02,1012
2024-07-16 13:30:03,1011
2024-07-16 13:30:04,1012
2024-07-16 13:30:05,1012
2024-07-16 13:30:06,1012
2024-07-16 13:30:07,1012
2024-07-16 13:30:08,1011
2024-07-16 13:30:09,1012
2024-07-16 13:30:10,1011
2024-07-16 13:30:11,1012
2024-07-16 13:30:12,1012
2024-07-16 13:30:13,1012
2024-07-16 13:30:14,1012
2024-07-16 13:30:15,1011
2024-07-16 13:30:16,1012
2024-07-16 13:30:17,1012
2024-07-16 13:30:18,1011
2024-07-16 13:30:19,1012
2024-07-16 13:30:20,1012
2024-07-16 13:30:21,1012
2024-07-16 13:30:22,1012
2024-07-16 13:30:23,1012
2024-07-16 13:30:24,1012
2024-07-16 13:30:25,1012
2024-07-16 13:30:26,1012
2024-07-16 13:30:27,1012
2024-07-16 13:30:28,1012
2024-07-16 13:30:29,1012
2024-07-16 13:30:30,1012
2024-07-16 13:30:31,1012
2024-07-16 13:30:32,1012
2024-07-16 13:30:33,1012
2024-07-16 13:30:34,1012
2024-07-16 13:30:35,1012
2024-07-16 13:30:36,1012
2024-07-16 13:30:37,1012
2024-07-16 13:30:38,1012
2024-07-16 13:30:39,1012
2024-07-16 13:30:40,1012
2024-07-16 13:30:41,1012
2024-07-16 13:30:42,1012
2024-07-16 13:30:43,1012
2024-07-16 13:30:44,1012
2024-07-16 13:30:45,1012
2024-07-16 13:30:46,1012
2024-07-16 13:30:47,1012
2024-07-16 13:30:48,1012
2024-07-16 13:30:49,1012
2024-07-16 13:30:50,1012
2024-07-16 13:30:51,1012
2024-07-16 13:30:52,1012
2024-07-16 13:30:53,1012
2024-07-16 13:30:54,1012
2024-07-16 13:30:55,1012
2024-07-16 13:30:56,1012
2024-07-16 13:30:57,1012
2024-07-16 13:30:58,1012
2024-07-16 13:30:59,1012
2024-07-16 13:31:00,1012
2024-07-16 13:31:01,1011
2024-07-16 13:31:02,1012
2024-07-16 13:31:03,1011
2024-07-16 13:31:04,1012
2024-07-16 13:31:05,1012
2024-07-16 13:31:06,1012
2024-07-16 13:31:07,1012
2024-07-16 13:31:08,1011
2024-07-16 13:31:10,1012
2024-07-16 13:31:11,1012
2024-07-16 13:31:12,1012
2024-07-16 13:31:13,1012
2024-07-16 13:31:14,1011
2024-07-16 13:31:15,1012
2024-07-16 13:31:16,1012
2024-07-16 13:31:17,1012
2024-07-16 13:31:18,1012
2024-07-16 13:31:19,1012
2024-07-16 13:31:20,1012
2024-07-16 13:31:21,1012
2024-07-16 13:31:22,1012
2024-07-16 13:31:23,1012
2024-07-16 13:31:24,1012
2024-07-16 13:31:25,1012
2024-07-16 13:31:26,1012
2024-07-16 13:31:27,1012
2024-07-16 13:31:28,1012
2024-07-16 13:31:29,1012
2024-07-16 13:31:30,1012
2024-07-16 13:31:31,1012
2024-07-16 13:31:32,1012
2024-07-16 13:31:33,1012
2024-07-16 13:31:34,1012
2024-07-16 13:31:35,1012
2024-07-16 13:31:36,1012
2024-07-16 13:31:37,1012
2024-07-16 13:31:38,1012
2024-07-16 13:31:39,1012
2024-07-16 13:31:40,1012
2024-07-16 13:31:41,1012
2024-07-16 13:31:42,1012
2024-07-16 13:31:43,1012
2024-07-16 13:31:44,1012
2024-07-16 13:31:45,1012
