Timestamp,mics_Vred
2024-07-16 13:30:00,38
2024-07-16 13:30:01,38
2024-07-16 13:30:02,39
2024-07-16 13:30:03,39
2024-07-16 13:30:04,38
2024-07-16 13:30:05,38
2024-07-16 13:30:06,38
2024-07-16 13:30:07,38
2024-07-16 13:30:08,38
2024-07-16 13:30:09,37
2024-07-16 13:30:10,37
2024-07-16 13:30:11,37
2024-07-16 13:30:12,38
2024-07-16 13:30:13,38
2024-07-16 13:30:14,39
2024-07-16 13:30:15,39
2024-07-16 13:30:16,39
2024-07-16 13:30:17,41
2024-07-16 13:30:18,41
2024-07-16 13:30:19,41
2024-07-16 13:30:20,41
2024-07-16 13:30:21,40
2024-07-16 13:30:22,41
2024-07-16 13:30:23,41
2024-07-16 13:30:24,41
2024-07-16 13:30:25,41
2024-07-16 13:30:26,41
2024-07-16 13:30:27,41
2024-07-16 13:30:28,41
2024-07-16 13:30:29,41
2024-07-16 13:30:30,41
2024-07-16 13:30:31,41
2024-07-16 13:30:32,41
2024-07-16 13:30:33,42
2024-07-16 13:30:34,41
2024-07-16 13:30:35,41
2024-07-16 13:30:36,40
2024-07-16 13:30:37,41
2024-07-16 13:30:38,40
2024-07-16 13:30:39,40
2024-07-16 13:30:40,39
2024-07-16 13:30:41,39
2024-07-16 13:30:42,39
2024-07-16 13:30:43,39
2024-07-16 13:30:44,39
2024-07-16 13:30:45,39
2024-07-16 13:30:46,38
2024-07-16 13:30:47,39
2024-07-16 13:30:48,38
2024-07-16 13:30:49,37
2024-07-16 13:30:50,37
2024-07-16 13:30:51,37
2024-07-16 13:30:52,37
2024-07-16 13:30:53,38
2024-07-16 13:30:54,38
2024-07-16 13:30:55,38
2024-07-16 13:30:56,38
2024-07-16 13:30:57,38
2024-07-16 13:30:58,38
2024-07-16 13:30:59,38
2024-07-16 13:31:00,38
2024-07-16 13:31:01,37
2024-07-16 13:31:02,37
2024-07-16 13:31:03,37
2024-07-16 13:31:04,37
2024-07-16 13:31:05,36
2024-07-16 13:31:06,36
2024-07-16 13:31:07,36
2024-07-16 13:31:08,36
2024-07-16 13:31:10,35
2024-07-16 13:31:11,35
2024-07-16 13:31:12,35
2024-07-16 13:31:13,35
2024-07-16 13:31:14,34
2024-07-16 13:31:15,35
2024-07-16 13:31:16,35
