Timestamp,mics_Vnox
2024-07-16 15:45:00,479
2024-07-16 15:45:01,479
2024-07-16 15:45:02,479
2024-07-16 15:45:04,479
2024-07-16 15:45:05,478
2024-07-16 15:45:06,479
2024-07-16 15:45:07,479
2024-07-16 15:45:08,478
2024-07-16 15:45:09,478
2024-07-16 15:45:10,478
2024-07-16 15:45:11,478
2024-07-16 15:45:12,478
2024-07-16 15:45:13,478
2024-07-16 15:45:14,478
2024-07-16 15:45:15,478
2024-07-16 15:45:16,478
2024-07-16 15:45:17,478
2024-07-16 15:45:18,478
2024-07-16 15:45:19,478
2024-07-16 15:45:20,479
2024-07-16 15:45:21,479
2024-07-16 15:45:22,479
2024-07-16 15:45:23,479
2024-07-16 15:45:24,479
2024-07-16 15:45:25,479
2024-07-16 15:45:26,479
2024-07-16 15:45:27,479
2024-07-16 15:45:28,479
2024-07-16 15:45:29,479
2024-07-16 15:45:30,479
2024-07-16 15:45:31,479
2024-07-16 15:45:32,479
2024-07-16 15:45:33,479
2024-07-16 15:45:34,479
2024-07-16 15:45:35,478
2024-07-16 15:45:36,478
2024-07-16 15:45:37,478
2024-07-16 15:45:38,478
2024-07-16 15:45:39,477
2024-07-16 15:45:40,477
2024-07-16 15:45:41,478
2024-07-16 15:45:42,477
2024-07-16 15:45:43,478
2024-07-16 15:45:44,478
2024-07-16 15:45:45,478
2024-07-16 15:45:46,478
2024-07-16 15:45:47,478
2024-07-16 15:45:48,478
2024-07-16 15:45:49,478
2024-07-16 15:45:50,478
2024-07-16 15:45:51,478
2024-07-16 15:45:52,478
2024-07-16 15:45:53,478
2024-07-16 15:45:54,478
2024-07-16 15:45:55,478
2024-07-16 15:45:56,478
2024-07-16 15:45:57,478
2024-07-16 15:45:58,478
2024-07-16 15:45:59,477
2024-07-16 15:46:00,477
2024-07-16 15:46:01,477
2024-07-16 15:46:02,477
2024-07-16 15:46:03,478
2024-07-16 15:46:04,478
2024-07-16 15:46:05,478
2024-07-16 15:46:06,478
2024-07-16 15:46:07,478
2024-07-16 15:46:08,478
2024-07-16 15:46:09,478
2024-07-16 15:46:10,478
2024-07-16 15:46:11,478
2024-07-16 15:46:12,478
2024-07-16 15:46:13,477
2024-07-16 15:46:14,477
2024-07-16 15:46:15,477
2024-07-16 15:46:16,477
2024-07-16 15:46:17,477
2024-07-16 15:46:18,477
2024-07-16 15:46:19,477
2024-07-16 15:46:20,477
2024-07-16 15:46:21,477
2024-07-16 15:46:22,477
2024-07-16 15:46:23,477
2024-07-16 15:46:24,477
2024-07-16 15:46:25,477
2024-07-16 15:46:26,477
2024-07-16 15:46:28,477
2024-07-16 15:46:29,477
2024-07-16 15:46:30,478
2024-07-16 15:46:31,477
2024-07-16 15:46:32,477
2024-07-16 15:46:33,477
2024-07-16 15:46:34,477
2024-07-16 15:46:35,477
2024-07-16 15:46:36,477
2024-07-16 15:46:37,477
2024-07-16 15:46:38,477
2024-07-16 15:46:39,477
2024-07-16 15:46:40,477
2024-07-16 15:46:41,477
2024-07-16 15:46:42,477
2024-07-16 15:46:43,477
2024-07-16 15:46:44,477
2024-07-16 15:46:45,477
2024-07-16 15:46:46,477
2024-07-16 15:46:47,477
2024-07-16 15:46:48,477
2024-07-16 15:46:49,477
2024-07-16 15:46:50,477
2024-07-16 15:46:51,478
2024-07-16 15:46:52,478
2024-07-16 15:46:53,478
2024-07-16 15:46:54,478
2024-07-16 15:46:55,478
2024-07-16 15:46:56,478
2024-07-16 15:46:57,479
2024-07-16 15:46:58,479
2024-07-16 15:46:59,479
2024-07-16 15:47:00,479
2024-07-16 15:47:01,479
2024-07-16 15:47:02,479
2024-07-16 15:47:03,479
2024-07-16 15:47:04,479
